Rank,Game,Current Players,Peak Players,Hours Played
1.,Counter-Strike 2,1173747,1811827,777786809
2.,Dota 2,451091,630716,292268799
3.,PUBG: BATTLEGROUNDS,197386,861598,241335186
4.,Schedule I,149992,455652,137035034
5.,Marvel Rivals,145436,315153,99092972
6.,Bongo Cat,119032,166768,58099189
7.,Baldur's Gate 3,116468,168862,45656869
8.,R.E.P.O.,107330,245015,89154309
9.,Banana,103646,127238,73216397
10.,Apex Legends,103516,196709,75741162
11.,Rust,92628,187702,75727095
12.,Last Epoch,91856,150214,16670225
13.,Call of Duty®,84729,138335,47758435
14.,Path of Exile 2,78171,245870,60997958
15.,Tom Clancy's Rainbow Six Siege,72537,120826,49396877
16.,Grand Theft Auto V Legacy,66678,104746,44334332
17.,Spacewar,65129,138329,47018802
18.,Football Manager 2024,63362,68246,31797768
19.,Monster Hunter Wilds,60767,548047,96009990
20.,War Thunder,60473,97913,42250091
21.,EA SPORTS FC 25,59223,78787,34507030
22.,Crosshair X,53143,62296,31249141
23.,Wallpaper Engine,49746,138046,57922642
24.,DayZ,49662,65106,27269120
25.,Dead by Daylight,48775,71375,29268688
